@relation AAc_Train

@attribute A numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute K numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute V numeric
@attribute W numeric
@attribute Y numeric
@attribute Label {thermo,meso}

@data
0.131797,0.009217,0.053456,0.074654,0.042396,0.078341,0.031336,0.046083,0.023041,0.108756,0.015668,0.014747,0.0553,0.034101,0.099539,0.030415,0.045161,0.064516,0.007373,0.034101,thermo
0.06383,0,0.069149,0.079787,0.047872,0.053191,0.005319,0.106383,0.053191,0.047872,0.037234,0.047872,0.021277,0.010638,0.090426,0.079787,0.06383,0.047872,0.005319,0.069149,thermo
0.079646,0.017699,0.047198,0.073746,0.041298,0.082596,0.026549,0.067847,0.067847,0.073746,0.026549,0.047198,0.047198,0.044248,0.017699,0.061947,0.050147,0.058997,0.023599,0.044248,thermo
0.044521,0.003425,0.061644,0.061644,0.058219,0.082192,0.013699,0.092466,0.082192,0.068493,0.037671,0.041096,0.044521,0.030822,0.034247,0.085616,0.05137,0.044521,0.006849,0.054795,thermo
0.085011,0,0.051454,0.087248,0.044743,0.087248,0.011186,0.082774,0.080537,0.060403,0.013423,0.038031,0.058166,0.022371,0.024609,0.064877,0.0783,0.069351,0.008949,0.03132,thermo
0.195402,0,0.057471,0.08046,0.011494,0.063218,0.005747,0.034483,0.08046,0.034483,0.017241,0.005747,0.097701,0.028736,0.074713,0.051724,0.08046,0.045977,0.011494,0.022989,thermo
0.105793,0,0.02267,0.100756,0.047859,0.098237,0.010076,0.025189,0.042821,0.143577,0.02267,0.012594,0.070529,0.035264,0.085642,0.040302,0.030227,0.070529,0.007557,0.027708,thermo
0.058394,0,0.043796,0.072993,0.007299,0.051095,0.029197,0.065693,0.175182,0.10219,0.014599,0.021898,0.021898,0.043796,0.094891,0.036496,0.058394,0.065693,0.007299,0.029197,thermo
0.135922,0.004854,0.033981,0.097087,0.019417,0.092233,0.014563,0.092233,0.033981,0.063107,0.033981,0.009709,0.043689,0.014563,0.082524,0.07767,0.048544,0.082524,0,0.019417,thermo
0.032692,0.007692,0.075,0.084615,0.051923,0.063462,0.019231,0.094231,0.092308,0.084615,0.009615,0.036538,0.034615,0.009615,0.063462,0.065385,0.042308,0.082692,0.001923,0.048077,thermo
0.075209,0.002786,0.058496,0.069638,0.030641,0.083565,0.019499,0.083565,0.069638,0.086351,0.02507,0.02507,0.075209,0.027855,0.050139,0.041783,0.052925,0.083565,0.008357,0.030641,thermo
0.020408,0.02449,0.04898,0.089796,0.093878,0.053061,0.02449,0.053061,0.093878,0.106122,0.016327,0.069388,0.016327,0.044898,0.020408,0.036735,0.053061,0.065306,0.008163,0.061224,thermo
0.077519,0.002584,0.03876,0.077519,0.041344,0.087855,0.015504,0.085271,0.085271,0.095607,0.023256,0.056848,0.036176,0.033592,0.036176,0.046512,0.05168,0.072351,0.007752,0.028424,thermo
0.121429,0.014286,0.05,0.114286,0.028571,0.071429,0.014286,0.064286,0.05,0.092857,0.021429,0.028571,0.021429,0.028571,0.085714,0.021429,0.05,0.085714,0,0.035714,thermo
0.074667,0.005333,0.053333,0.069333,0.024,0.08,0.013333,0.112,0.072,0.077333,0.029333,0.064,0.04,0.013333,0.04,0.069333,0.026667,0.061333,0,0.074667,thermo
0.086692,0.003802,0.054753,0.069202,0.028897,0.079848,0.022814,0.039544,0.024335,0.121673,0.028137,0.020532,0.072243,0.039544,0.085932,0.065399,0.050951,0.067681,0.012167,0.025856,thermo
0.039216,0.006536,0.055556,0.065359,0.062092,0.088235,0.003268,0.084967,0.098039,0.111111,0.01634,0.045752,0.035948,0.026144,0.03268,0.075163,0.045752,0.062092,0.006536,0.039216,thermo
0.116883,0.025974,0.047619,0.095238,0.017316,0.103896,0.008658,0.047619,0.021645,0.125541,0.008658,0.008658,0.047619,0.021645,0.121212,0.051948,0.038961,0.082251,0,0.008658,thermo
0.075067,0.005362,0.061662,0.064343,0.032172,0.08311,0.021448,0.077748,0.069705,0.093834,0.010724,0.050938,0.029491,0.032172,0.042895,0.096515,0.050938,0.075067,0.005362,0.021448,thermo
0.089147,0.011628,0.027132,0.062016,0.042636,0.085271,0.023256,0.081395,0.03876,0.143411,0.034884,0.015504,0.042636,0.027132,0.062016,0.050388,0.034884,0.081395,0.007752,0.03876,thermo
0.069149,0.015957,0.06383,0.090426,0.015957,0.06383,0.031915,0.095745,0.042553,0.101064,0.031915,0.021277,0.069149,0.047872,0.085106,0.026596,0.037234,0.058511,0.015957,0.015957,thermo
0.066667,0,0.04,0.12,0.053333,0.04,0,0.066667,0.173333,0.04,0.053333,0.08,0.04,0,0.066667,0.04,0.04,0.053333,0,0.026667,thermo
0.055921,0.009868,0.075658,0.072368,0.046053,0.082237,0.019737,0.072368,0.049342,0.111842,0.013158,0.013158,0.0625,0.016447,0.052632,0.0625,0.042763,0.095395,0.003289,0.042763,thermo
0.025568,0.005682,0.053977,0.082386,0.036932,0.056818,0.019886,0.082386,0.085227,0.099432,0.028409,0.045455,0.034091,0.011364,0.059659,0.068182,0.039773,0.110795,0.019886,0.034091,thermo
0.038348,0.0059,0.061947,0.085546,0.026549,0.050147,0.023599,0.073746,0.094395,0.085546,0.020649,0.056047,0.041298,0.023599,0.053097,0.035398,0.053097,0.103245,0.017699,0.050147,thermo
0.047826,0.004348,0.047826,0.086957,0.073913,0.078261,0.026087,0.104348,0.091304,0.078261,0.021739,0.03913,0.030435,0.030435,0.043478,0.052174,0.03913,0.043478,0.004348,0.056522,thermo
0.093117,0,0.02834,0.02834,0.036437,0.089069,0.016194,0.072874,0.036437,0.072874,0.012146,0.068826,0.02834,0.05668,0.008097,0.105263,0.093117,0.121457,0.004049,0.02834,thermo
0.120332,0.008299,0.060166,0.064315,0.012448,0.095436,0.018672,0.024896,0.006224,0.13278,0.020747,0.012448,0.068465,0.026971,0.130705,0.039419,0.049793,0.080913,0.014523,0.012448,thermo
0.02924,0,0.032164,0.046784,0.020468,0.096491,0.017544,0.078947,0.090643,0.099415,0.01462,0.04386,0.076023,0.035088,0.070175,0.076023,0.040936,0.070175,0.01462,0.046784,thermo
0.182482,0,0.029197,0.131387,0.014599,0.087591,0.014599,0.043796,0.036496,0.094891,0.029197,0,0.029197,0.007299,0.10219,0.051095,0.021898,0.116788,0.007299,0,thermo
0.095652,0,0.034783,0.147826,0.034783,0.017391,0,0.086957,0.095652,0.113043,0.026087,0.06087,0.017391,0.086957,0.026087,0.034783,0.017391,0.078261,0,0.026087,thermo
0.060519,0.011527,0.037464,0.095101,0.023055,0.060519,0.023055,0.060519,0.054755,0.106628,0.051873,0.037464,0.040346,0.057637,0.054755,0.057637,0.054755,0.083573,0.002882,0.025937,thermo
0.141975,0.006173,0.046296,0.058642,0.018519,0.108025,0.009259,0.027778,0.012346,0.114198,0.037037,0.027778,0.067901,0.033951,0.083333,0.046296,0.030864,0.108025,0.006173,0.015432,thermo
0.111607,0.035714,0.049107,0.080357,0.026786,0.066964,0.022321,0.0625,0.022321,0.075893,0.026786,0.026786,0.049107,0.026786,0.080357,0.075893,0.044643,0.066964,0.008929,0.040179,thermo
0.089005,0.031414,0.073298,0.068063,0.031414,0.094241,0.020942,0.078534,0.078534,0.052356,0.036649,0.04712,0.026178,0.036649,0.04712,0.04712,0.041885,0.073298,0.010471,0.015707,thermo
0.100529,0.013228,0.039683,0.068783,0.026455,0.111111,0.018519,0.097884,0.079365,0.055556,0.018519,0.034392,0.026455,0.018519,0.037037,0.07672,0.044974,0.103175,0,0.029101,thermo
0.089404,0.009934,0.05298,0.099338,0.016556,0.096026,0.016556,0.059603,0.036424,0.089404,0.036424,0.019868,0.046358,0.023179,0.07947,0.066225,0.059603,0.086093,0.006623,0.009934,thermo
0.039823,0.00885,0.048673,0.079646,0.053097,0.057522,0.017699,0.128319,0.079646,0.10177,0.044248,0.057522,0.044248,0.026549,0.048673,0.044248,0.044248,0.053097,0,0.022124,thermo
0.057377,0.018443,0.053279,0.094262,0.059426,0.055328,0.020492,0.090164,0.07582,0.077869,0.018443,0.055328,0.05123,0.014344,0.045082,0.057377,0.040984,0.05123,0.02459,0.038934,thermo
0.032051,0.00641,0.051282,0.128205,0.064103,0.083333,0,0.064103,0.108974,0.076923,0.00641,0.051282,0.038462,0.012821,0.044872,0.038462,0.032051,0.083333,0.012821,0.064103,thermo
0.04023,0,0.04023,0.16092,0.045977,0.028736,0.022989,0.057471,0.143678,0.091954,0.017241,0.057471,0.034483,0.045977,0.051724,0.034483,0.017241,0.063218,0.005747,0.04023,thermo
0.030973,0.006637,0.05531,0.106195,0.04646,0.044248,0.015487,0.106195,0.119469,0.09292,0.019912,0.035398,0.026549,0.022124,0.073009,0.057522,0.033186,0.044248,0.006637,0.057522,thermo
0.046693,0.003891,0.058366,0.077821,0.070039,0.070039,0.015564,0.101167,0.120623,0.097276,0.023346,0.089494,0.031128,0.023346,0.007782,0.062257,0.027237,0.027237,0.007782,0.038911,thermo
0.032154,0.009646,0.051447,0.090032,0.064309,0.051447,0.016077,0.099678,0.125402,0.086817,0.032154,0.045016,0.022508,0.006431,0.064309,0.057878,0.03537,0.048232,0.006431,0.054662,thermo
0.119658,0.002442,0.039072,0.114774,0.039072,0.079365,0.014652,0.017094,0.034188,0.164835,0.017094,0.007326,0.057387,0.020757,0.102564,0.028083,0.042735,0.063492,0.002442,0.032967,thermo
0.082192,0.006849,0.068493,0.150685,0.027397,0.082192,0.013699,0.061644,0.013699,0.061644,0.013699,0.020548,0.027397,0.027397,0.123288,0.034247,0.027397,0.123288,0.006849,0.027397,thermo
0.057554,0,0.079137,0.100719,0.079137,0.086331,0,0.071942,0.043165,0.071942,0.014388,0.028777,0.028777,0.028777,0.028777,0.100719,0.043165,0.086331,0.014388,0.035971,thermo
0.115385,0.007692,0.042308,0.05,0.042308,0.076923,0.023077,0.038462,0.007692,0.115385,0.015385,0.015385,0.057692,0.053846,0.103846,0.05,0.057692,0.111538,0,0.015385,thermo
0.044743,0.024609,0.058166,0.071588,0.055928,0.044743,0.024609,0.09396,0.09396,0.096197,0.033557,0.058166,0.024609,0.024609,0.067114,0.051454,0.017897,0.069351,0.006711,0.038031,thermo
0.045113,0.015038,0.030075,0.090226,0.067669,0.030075,0.007519,0.142857,0.142857,0.097744,0.030075,0.022556,0.030075,0.037594,0.030075,0.075188,0.045113,0.007519,0,0.052632,thermo
0.125616,0.002463,0.027094,0.093596,0.036946,0.083744,0.014778,0.009852,0.041872,0.162562,0.007389,0.004926,0.093596,0.012315,0.098522,0.034483,0.022167,0.08867,0.009852,0.029557,thermo
0.063687,0.002235,0.07486,0.124022,0.023464,0.03352,0.015642,0.103911,0.097207,0.097207,0.020112,0.063687,0.010056,0.02905,0.068156,0.081564,0.021229,0.044693,0.003352,0.022346,thermo
0.075697,0.015936,0.039841,0.071713,0.035857,0.071713,0.023904,0.067729,0.067729,0.051793,0.031873,0.083665,0.031873,0.043825,0.055777,0.051793,0.055777,0.063745,0.011952,0.047809,thermo
0.07732,0.018041,0.056701,0.100515,0.030928,0.087629,0.028351,0.059278,0.043814,0.085052,0.030928,0.025773,0.041237,0.018041,0.079897,0.069588,0.028351,0.069588,0.007732,0.041237,thermo
0.09009,0.009009,0.072072,0.126126,0.009009,0.063063,0.009009,0.072072,0.018018,0.108108,0.009009,0.018018,0.063063,0.009009,0.081081,0.045045,0.045045,0.099099,0.027027,0.027027,thermo
0.058236,0.008319,0.041597,0.048253,0.06822,0.044925,0.02995,0.084859,0.079867,0.113145,0.016639,0.036606,0.026622,0.034942,0.02995,0.109817,0.056572,0.054908,0.016639,0.039933,thermo
0.157738,0.002976,0.029762,0.074405,0.044643,0.104167,0.026786,0.02381,0.008929,0.104167,0.014881,0.017857,0.053571,0.017857,0.130952,0.056548,0.02381,0.089286,0.002976,0.014881,thermo
0.03662,0.002817,0.047887,0.092958,0.056338,0.04507,0.025352,0.076056,0.08169,0.073239,0.028169,0.067606,0.042254,0.028169,0.076056,0.04507,0.053521,0.047887,0.019718,0.053521,thermo
0.185567,0,0.092784,0.072165,0.020619,0.072165,0.010309,0.020619,0.041237,0.082474,0.030928,0.051546,0,0.061856,0.061856,0.041237,0.041237,0.030928,0.041237,0.041237,thermo
0.075758,0,0.098485,0.113636,0.015152,0.045455,0.007576,0.068182,0.05303,0.106061,0.022727,0.05303,0.037879,0.015152,0.068182,0.05303,0.030303,0.113636,0.015152,0.007576,thermo
0.016949,0,0.050847,0.084746,0.033898,0.101695,0.016949,0.016949,0.169492,0.084746,0.016949,0,0.101695,0,0.084746,0.033898,0.050847,0.084746,0.016949,0.033898,thermo
0.026667,0.057778,0.057778,0.08,0.04,0.044444,0.017778,0.066667,0.057778,0.066667,0.004444,0.084444,0.031111,0.017778,0.035556,0.097778,0.071111,0.071111,0.004444,0.066667,thermo
0.048518,0.016173,0.059299,0.086253,0.040431,0.078167,0.037736,0.075472,0.053908,0.088949,0.026954,0.045822,0.056604,0.026954,0.070081,0.045822,0.02965,0.06469,0.018868,0.02965,thermo
0.051471,0.005515,0.047794,0.09375,0.064338,0.042279,0.027574,0.123162,0.080882,0.077206,0.009191,0.051471,0.036765,0.033088,0.047794,0.066176,0.044118,0.068015,0.003676,0.025735,thermo
0.091803,0.02623,0.039344,0.078689,0.036066,0.104918,0.036066,0.032787,0.013115,0.104918,0.013115,0.016393,0.095082,0.022951,0.12459,0.022951,0.039344,0.07541,0,0.02623,thermo
0.033816,0.006441,0.062802,0.098229,0.049919,0.046699,0.019324,0.095008,0.093398,0.096618,0.022544,0.061192,0.033816,0.024155,0.040258,0.067633,0.05475,0.062802,0,0.030596,thermo
0.010989,0,0.098901,0.054945,0.032967,0.043956,0.010989,0.120879,0.10989,0.098901,0.043956,0.054945,0.021978,0.021978,0.054945,0.054945,0.065934,0.065934,0,0.032967,thermo
0.13913,0,0.008696,0.052174,0.034783,0.069565,0.008696,0.017391,0.069565,0.104348,0.017391,0.017391,0.034783,0.069565,0.156522,0.026087,0.017391,0.113043,0.008696,0.034783,thermo
0.137795,0.007874,0.027559,0.07874,0.043307,0.11811,0.027559,0.043307,0.023622,0.094488,0.023622,0.007874,0.059055,0.027559,0.086614,0.023622,0.059055,0.094488,0.007874,0.007874,thermo
0.04878,0.013937,0.041812,0.073171,0.02439,0.055749,0.017422,0.132404,0.135889,0.097561,0.006969,0.04878,0.034843,0.017422,0.020906,0.059233,0.076655,0.059233,0.006969,0.027875,thermo
0.02974,0.01487,0.070632,0.115242,0.052045,0.081784,0.011152,0.122677,0.107807,0.070632,0.011152,0.037175,0.04461,0.01487,0.05948,0.026022,0.033457,0.055762,0.007435,0.033457,thermo
0.092424,0.015152,0.042424,0.086364,0.034848,0.074242,0.022727,0.05,0.025758,0.109091,0.013636,0.027273,0.054545,0.05,0.101515,0.063636,0.04697,0.062121,0.010606,0.016667,thermo
0.031447,0,0.037736,0.062893,0.044025,0.037736,0.018868,0.100629,0.138365,0.106918,0.018868,0.056604,0.031447,0.037736,0.056604,0.08805,0.025157,0.069182,0.006289,0.031447,thermo
0.036585,0.003049,0.057927,0.070122,0.033537,0.060976,0.012195,0.106707,0.073171,0.060976,0.018293,0.060976,0.045732,0.027439,0.073171,0.064024,0.057927,0.073171,0,0.064024,thermo
0.015385,0.015385,0.076923,0.015385,0.092308,0.107692,0.030769,0.092308,0.092308,0.076923,0.030769,0.061538,0,0.061538,0.107692,0.046154,0.015385,0,0.030769,0.030769,thermo
0.059574,0.004255,0.07234,0.080851,0.038298,0.034043,0.004255,0.119149,0.106383,0.106383,0.021277,0.055319,0.034043,0,0.059574,0.055319,0.034043,0.080851,0.004255,0.029787,thermo
0.094203,0,0.072464,0.07971,0.094203,0.07971,0,0.036232,0.028986,0.07971,0.007246,0.028986,0.094203,0.028986,0.072464,0.028986,0.028986,0.115942,0,0.028986,thermo
0.033962,0.003774,0.075472,0.060377,0.071698,0.045283,0.018868,0.090566,0.113208,0.090566,0.030189,0.037736,0.045283,0.026415,0.05283,0.049057,0.041509,0.083019,0,0.030189,thermo
0.058685,0.011737,0.053991,0.053991,0.049296,0.061033,0.018779,0.086854,0.086854,0.115023,0.023474,0.037559,0.032864,0.035211,0.065728,0.06338,0.037559,0.06338,0.007042,0.037559,thermo
0.073059,0.004566,0.054795,0.077626,0.03653,0.086758,0.013699,0.068493,0.050228,0.091324,0.031963,0.027397,0.041096,0.031963,0.068493,0.041096,0.045662,0.091324,0.022831,0.041096,thermo
0.045673,0,0.0625,0.09375,0.057692,0.052885,0.009615,0.081731,0.108173,0.091346,0.012019,0.048077,0.038462,0.028846,0.048077,0.048077,0.040865,0.079327,0.019231,0.033654,thermo
0.025723,0.003215,0.07717,0.067524,0.038585,0.032154,0.016077,0.07717,0.083601,0.118971,0.025723,0.051447,0.025723,0.025723,0.096463,0.061093,0.051447,0.067524,0,0.054662,thermo
0.055085,0.008475,0.084746,0.04661,0.067797,0.076271,0.016949,0.09322,0.063559,0.084746,0.042373,0.076271,0.012712,0.008475,0.033898,0.067797,0.050847,0.067797,0.004237,0.038136,thermo
0.049834,0.006645,0.043189,0.112957,0.04485,0.063123,0.019934,0.081395,0.071429,0.107973,0.01495,0.0299,0.04485,0.024917,0.076412,0.066445,0.056478,0.05814,0.001661,0.024917,thermo
0.07489,0.004405,0.072687,0.077093,0.037445,0.125551,0.013216,0.061674,0.039648,0.081498,0.022026,0.026432,0.035242,0.019824,0.063877,0.099119,0.048458,0.079295,0.002203,0.015419,thermo
0.039548,0.016949,0.056497,0.096045,0.050847,0.073446,0.016949,0.067797,0.090395,0.096045,0.022599,0.039548,0.039548,0.022599,0.050847,0.050847,0.096045,0.050847,0,0.022599,thermo
0.033735,0.00241,0.089157,0.043373,0.038554,0.077108,0.012048,0.13253,0.072289,0.086747,0.031325,0.096386,0.021687,0.004819,0.043373,0.081928,0.038554,0.045783,0,0.048193,thermo
0.148718,0,0.046154,0.107692,0.015385,0.05641,0.025641,0.035897,0.020513,0.138462,0.020513,0.005128,0.020513,0.025641,0.133333,0.030769,0.051282,0.066667,0,0.051282,thermo
0.073846,0.006154,0.055385,0.070769,0.030769,0.076923,0.030769,0.083077,0.04,0.08,0.030769,0.043077,0.033846,0.012308,0.076923,0.070769,0.052308,0.104615,0,0.027692,thermo
0.061652,0.01233,0.067818,0.077682,0.040691,0.046856,0.01603,0.078915,0.071517,0.112207,0.023428,0.041924,0.030826,0.039457,0.050555,0.061652,0.043157,0.082614,0.004932,0.035758,thermo
0.082474,0.010309,0.051546,0.092784,0.041237,0.061856,0.010309,0.082474,0.092784,0.061856,0.030928,0.041237,0.041237,0.041237,0.010309,0.051546,0.082474,0.072165,0,0.041237,thermo
0.052795,0.007764,0.074534,0.074534,0.037267,0.065217,0.006211,0.07764,0.085404,0.062112,0.017081,0.052795,0.054348,0.03882,0.035714,0.065217,0.062112,0.069876,0.017081,0.043478,thermo
0.098566,0.003584,0.069892,0.051971,0.044803,0.082437,0.026882,0.03405,0.010753,0.103943,0.010753,0.017921,0.055556,0.039427,0.073477,0.048387,0.048387,0.089606,0.043011,0.046595,thermo
0.108911,0,0.039604,0.123762,0.024752,0.094059,0.014851,0.029703,0.044554,0.143564,0.009901,0.014851,0.044554,0.034653,0.094059,0.029703,0.044554,0.074257,0,0.029703,thermo
0.064039,0.029557,0.059113,0.078818,0.078818,0.039409,0.049261,0.083744,0.083744,0.073892,0.014778,0.049261,0.014778,0.034483,0.073892,0.059113,0.029557,0.044335,0.004926,0.034483,thermo
0.049327,0.008969,0.076233,0.107623,0.040359,0.035874,0.013453,0.085202,0.080717,0.116592,0.022422,0.040359,0.013453,0.049327,0.071749,0.067265,0.03139,0.049327,0,0.040359,thermo
0.202083,0.0125,0.052083,0.052083,0.008333,0.11875,0.008333,0.027083,0.00625,0.1,0.014583,0.008333,0.075,0.020833,0.1,0.025,0.04375,0.108333,0.008333,0.008333,thermo
0.076923,0.025641,0.040293,0.076923,0.018315,0.076923,0.032967,0.018315,0.029304,0.164835,0.021978,0.010989,0.058608,0.032967,0.098901,0.084249,0.040293,0.062271,0.010989,0.018315,thermo
0.108359,0.018576,0.058824,0.077399,0.012384,0.083591,0.03096,0.071207,0.043344,0.089783,0.027864,0.040248,0.04644,0.037152,0.040248,0.037152,0.03096,0.105263,0.01548,0.024768,thermo
0.053892,0,0.05988,0.125749,0.065868,0.065868,0.023952,0.071856,0.08982,0.065868,0.017964,0.047904,0.035928,0.065868,0.011976,0.053892,0.047904,0.071856,0,0.023952,thermo
0.09328,0.001003,0.048144,0.116349,0.033099,0.064193,0.021063,0.049147,0.065196,0.108325,0.024072,0.024072,0.048144,0.037111,0.09328,0.027081,0.037111,0.072217,0.006018,0.031093,thermo
0.037736,0,0.018868,0.09434,0.028302,0.103774,0.018868,0.075472,0.132075,0.066038,0.018868,0.037736,0.028302,0.018868,0.075472,0.018868,0.056604,0.113208,0.009434,0.04717,thermo
0.029586,0.005917,0.071006,0.106509,0.047337,0.08284,0.029586,0.076923,0.094675,0.071006,0.011834,0.023669,0.035503,0.017751,0.08284,0.059172,0.029586,0.08284,0.011834,0.029586,thermo
0.06,0,0.056,0.052,0.06,0.064,0.036,0.084,0.064,0.076,0.02,0.04,0.044,0.024,0.104,0.044,0.06,0.064,0.008,0.04,thermo
0.037234,0.005319,0.042553,0.164894,0.021277,0.026596,0.005319,0.085106,0.154255,0.117021,0.015957,0.069149,0,0.026596,0.053191,0.053191,0.037234,0.053191,0.010638,0.021277,thermo
0.092,0.016,0.052,0.068,0.032,0.088,0.04,0.06,0.04,0.096,0.028,0.02,0.064,0.028,0.04,0.052,0.064,0.068,0.008,0.044,thermo
0.125,0,0.057692,0.115385,0.028846,0.105769,0.009615,0.038462,0.028846,0.144231,0.028846,0,0.038462,0.028846,0.076923,0.038462,0.028846,0.076923,0,0.028846,thermo
0.067416,0,0.044944,0.089888,0.067416,0.050562,0.005618,0.050562,0.123596,0.106742,0.011236,0.050562,0.02809,0.005618,0.02809,0.095506,0.033708,0.101124,0,0.039326,thermo
0.073826,0,0.036913,0.114094,0.016779,0.026846,0.020134,0.090604,0.09396,0.087248,0.010067,0.030201,0.043624,0.080537,0.063758,0.040268,0.07047,0.077181,0.006711,0.016779,thermo
0.051793,0.031873,0.051793,0.055777,0.051793,0.047809,0.011952,0.067729,0.091633,0.115538,0.035857,0.047809,0.015936,0.01992,0.047809,0.099602,0.043825,0.063745,0.003984,0.043825,thermo
0.054945,0.006279,0.067504,0.081633,0.048666,0.080063,0.025118,0.081633,0.072214,0.087912,0.023548,0.064364,0.028257,0.036107,0.037677,0.045526,0.056515,0.065934,0.00157,0.034537,thermo
0.227758,0,0.032028,0.088968,0.007117,0.053381,0.014235,0.017794,0.042705,0.042705,0.010676,0.003559,0.067616,0.02847,0.096085,0.053381,0.124555,0.071174,0.003559,0.014235,thermo
0.125,0.005,0.02,0.18,0.03,0.035,0,0.09,0.145,0.095,0.01,0.035,0.005,0.035,0.065,0.03,0.025,0.05,0,0.02,thermo
0.098485,0.002525,0.058081,0.080808,0.027778,0.050505,0.025253,0.030303,0.012626,0.184343,0.007576,0.007576,0.042929,0.032828,0.111111,0.065657,0.060606,0.065657,0.007576,0.027778,thermo
0.097143,0.008571,0.051429,0.091429,0.02,0.097143,0.017143,0.082857,0.082857,0.085714,0.017143,0.037143,0.037143,0.011429,0.071429,0.045714,0.034286,0.065714,0.011429,0.034286,thermo
0.055147,0.014706,0.066176,0.058824,0.029412,0.077206,0.014706,0.117647,0.0625,0.080882,0.022059,0.022059,0.025735,0.022059,0.069853,0.095588,0.051471,0.080882,0.003676,0.029412,thermo
0.056452,0.016129,0.056452,0.08871,0.024194,0.032258,0.024194,0.096774,0.064516,0.056452,0.048387,0.048387,0.064516,0.056452,0.056452,0.056452,0.040323,0.032258,0.024194,0.056452,thermo
0.090615,0.012945,0.087379,0.067961,0.032362,0.093851,0.012945,0.084142,0.048544,0.067961,0.045307,0.012945,0.042071,0.016181,0.067961,0.071197,0.05178,0.074434,0.003236,0.016181,thermo
0.063492,0.010582,0.063492,0.074074,0.010582,0.063492,0.031746,0.079365,0.021164,0.126984,0.05291,0.015873,0.047619,0.015873,0.074074,0.068783,0.047619,0.089947,0.021164,0.021164,thermo
0.068966,0,0.043103,0.137931,0.025862,0.051724,0,0.060345,0.137931,0.086207,0.051724,0.043103,0.025862,0.077586,0.025862,0.043103,0.034483,0.086207,0,0,thermo
0.075431,0.006466,0.043103,0.107759,0.0625,0.086207,0.019397,0.060345,0.034483,0.092672,0.034483,0.030172,0.045259,0.019397,0.084052,0.073276,0.038793,0.047414,0,0.038793,thermo
0.162162,0.005405,0.075676,0.097297,0.016216,0.086486,0.005405,0.021622,0.005405,0.097297,0.016216,0,0.054054,0.021622,0.167568,0.027027,0.037838,0.081081,0.005405,0.016216,thermo
0.063889,0.008333,0.041667,0.075,0.047222,0.075,0.016667,0.097222,0.091667,0.102778,0.013889,0.044444,0.038889,0.027778,0.036111,0.061111,0.030556,0.061111,0.013889,0.052778,thermo
0.067873,0.013575,0.054299,0.085973,0.058824,0.036199,0.036199,0.063348,0.063348,0.104072,0.027149,0.027149,0.031674,0.031674,0.076923,0.072398,0.027149,0.049774,0.0181,0.054299,thermo
0.083953,0,0.072264,0.089267,0.03932,0.068013,0.017003,0.062699,0.038257,0.069075,0.017003,0.065887,0.044633,0.026567,0.030818,0.076514,0.072264,0.061637,0.025505,0.03932,thermo
0.04,0.005,0.08,0.11,0.045,0.065,0.01,0.085,0.105,0.085,0.015,0.025,0.04,0.015,0.05,0.02,0.045,0.105,0,0.055,thermo
0.079208,0,0.039604,0.049505,0.049505,0.059406,0.039604,0.039604,0.059406,0.108911,0.019802,0.019802,0.069307,0.049505,0.029703,0.059406,0.039604,0.128713,0.019802,0.039604,thermo
0.127193,0.008772,0.039474,0.070175,0.039474,0.087719,0.004386,0.052632,0.035088,0.122807,0.004386,0.030702,0.048246,0.026316,0.083333,0.035088,0.065789,0.087719,0.004386,0.026316,thermo
0.11976,0,0.023952,0.023952,0.04491,0.128743,0.020958,0.053892,0.017964,0.197605,0.026946,0.008982,0.032934,0.020958,0.056886,0.02994,0.056886,0.101796,0.011976,0.020958,thermo
0.040881,0.006289,0.044025,0.062893,0.053459,0.069182,0.015723,0.097484,0.09434,0.106918,0.012579,0.037736,0.031447,0.034591,0.069182,0.072327,0.031447,0.069182,0.006289,0.044025,thermo
0.037175,0.003717,0.052045,0.055762,0.04461,0.040892,0.01487,0.085502,0.104089,0.174721,0.026022,0.055762,0.018587,0.026022,0.04461,0.070632,0.048327,0.052045,0.011152,0.033457,thermo
0.142857,0.005102,0.010204,0.096939,0.040816,0.096939,0.030612,0.020408,0.040816,0.132653,0.030612,0.005102,0.071429,0.020408,0.086735,0.030612,0.030612,0.102041,0,0.005102,thermo
0.078014,0.021277,0.06383,0.070922,0.037825,0.092199,0.009456,0.068558,0.06383,0.089835,0.026005,0.042553,0.040189,0.021277,0.052009,0.061466,0.052009,0.085106,0.004728,0.018913,thermo
0.078556,0.014862,0.070064,0.072187,0.044586,0.095541,0.023355,0.063694,0.07431,0.080679,0.019108,0.027601,0.04034,0.03397,0.029724,0.03397,0.070064,0.084926,0.010616,0.031847,thermo
0.126437,0.011494,0.057471,0.172414,0.022989,0.068966,0,0.045977,0.045977,0.149425,0.022989,0.034483,0.034483,0.022989,0.08046,0.022989,0.022989,0.045977,0,0.011494,thermo
0.101852,0,0.058642,0.080247,0.037037,0.098765,0.024691,0.033951,0.040123,0.117284,0.012346,0.018519,0.061728,0.015432,0.061728,0.04321,0.049383,0.104938,0.009259,0.030864,thermo
